"","Date","Day","City","Pref","avg_temp","sum_rain"
"1","2019/12/30","月","甲府","Yamanashi",4.7,2.5
"2","2019/12/31","火","甲府","Yamanashi",5.8,0
"3","2020/1/1","水","甲府","Yamanashi",2.7,0
"4","2020/1/2","木","甲府","Yamanashi",3.8,0
"5","2020/1/3","金","甲府","Yamanashi",4.6,0
"6","2020/1/4","土","甲府","Yamanashi",5.7,0
"7","2020/1/5","日","甲府","Yamanashi",4.8,0
"8","2020/1/6","月","甲府","Yamanashi",3.4,0
"9","2020/1/7","火","甲府","Yamanashi",4.5,1
"10","2020/1/8","水","甲府","Yamanashi",8.7,9.5
"11","2020/1/9","木","甲府","Yamanashi",11.5,0
"12","2020/1/10","金","甲府","Yamanashi",7.4,0
"13","2020/1/11","土","甲府","Yamanashi",6.4,0
"14","2020/1/12","日","甲府","Yamanashi",4.2,0
"15","2020/1/13","月","甲府","Yamanashi",6.4,0
"16","2020/1/14","火","甲府","Yamanashi",5.3,0
"17","2020/1/15","水","甲府","Yamanashi",6.3,1
"18","2020/1/16","木","甲府","Yamanashi",4.1,0
"19","2020/1/17","金","甲府","Yamanashi",5.5,0
"20","2020/1/18","土","甲府","Yamanashi",3.7,3
"21","2020/1/19","日","甲府","Yamanashi",3.9,0
"22","2020/1/20","月","甲府","Yamanashi",4.8,0
"23","2020/1/21","火","甲府","Yamanashi",6.3,0
"24","2020/1/22","水","甲府","Yamanashi",4.5,0
"25","2020/1/23","木","甲府","Yamanashi",5.2,3.5
"26","2020/1/24","金","甲府","Yamanashi",8,0
"27","2020/1/25","土","甲府","Yamanashi",6.2,0
"28","2020/1/26","日","甲府","Yamanashi",5.1,0
"29","2020/1/27","月","甲府","Yamanashi",3.1,10.5
"30","2020/1/28","火","甲府","Yamanashi",2.9,16
"31","2020/1/29","水","甲府","Yamanashi",8.6,7
"32","2020/1/30","木","甲府","Yamanashi",8.7,0
"33","2020/1/31","金","甲府","Yamanashi",6.6,0
"34","2020/2/1","土","甲府","Yamanashi",4.7,0
"35","2020/2/2","日","甲府","Yamanashi",5.4,0
"36","2020/2/3","月","甲府","Yamanashi",8,0
"37","2020/2/4","火","甲府","Yamanashi",6.8,0
"38","2020/2/5","水","甲府","Yamanashi",4.9,0
"39","2020/2/6","木","甲府","Yamanashi",2.1,0
"40","2020/2/7","金","甲府","Yamanashi",0.8,0
"41","2020/2/8","土","甲府","Yamanashi",4.5,0
"42","2020/2/9","日","甲府","Yamanashi",3.4,0
"43","2020/2/10","月","甲府","Yamanashi",2.9,0
"44","2020/2/11","火","甲府","Yamanashi",6.1,0
"45","2020/2/12","水","甲府","Yamanashi",6.1,0
"46","2020/2/13","木","甲府","Yamanashi",11.3,0
"47","2020/2/14","金","甲府","Yamanashi",9.6,0
"48","2020/2/15","土","甲府","Yamanashi",7.8,0
"49","2020/2/16","日","甲府","Yamanashi",6.4,10
"50","2020/2/17","月","甲府","Yamanashi",10,0.5
"51","2020/2/18","火","甲府","Yamanashi",5.2,0
"52","2020/2/19","水","甲府","Yamanashi",4.5,0
"53","2020/2/20","木","甲府","Yamanashi",6.4,0
"54","2020/2/21","金","甲府","Yamanashi",7.4,0
"55","2020/2/22","土","甲府","Yamanashi",9.1,2
"56","2020/2/23","日","甲府","Yamanashi",9,0
"57","2020/2/24","月","甲府","Yamanashi",7,0
"58","2020/2/25","火","甲府","Yamanashi",7,0
"59","2020/2/26","水","甲府","Yamanashi",8,0
"60","2020/2/27","木","甲府","Yamanashi",6.1,0
"61","2020/2/28","金","甲府","Yamanashi",5.1,0
"62","2020/2/29","土","甲府","Yamanashi",8.7,0
"63","2020/3/1","日","甲府","Yamanashi",11.1,0
"64","2020/3/2","月","甲府","Yamanashi",10.6,1
"65","2020/3/3","火","甲府","Yamanashi",10.3,0
"66","2020/3/4","水","甲府","Yamanashi",10.4,0
"67","2020/3/5","木","甲府","Yamanashi",8.1,0
"68","2020/3/6","金","甲府","Yamanashi",7.8,0
"69","2020/3/7","土","甲府","Yamanashi",9.2,0
"70","2020/3/8","日","甲府","Yamanashi",7,9
"71","2020/3/9","月","甲府","Yamanashi",11.7,0
"72","2020/3/10","火","甲府","Yamanashi",12,29
"73","2020/3/11","水","甲府","Yamanashi",14.6,0
"74","2020/3/12","木","甲府","Yamanashi",10.6,0
"75","2020/3/13","金","甲府","Yamanashi",10.9,0
"76","2020/3/14","土","甲府","Yamanashi",5.8,9
"77","2020/3/15","日","甲府","Yamanashi",6.3,0
"78","2020/3/16","月","甲府","Yamanashi",5.5,0
"79","2020/3/17","火","甲府","Yamanashi",6.2,0
"80","2020/3/18","水","甲府","Yamanashi",11.7,1.5
"81","2020/3/19","木","甲府","Yamanashi",12.9,0
"82","2020/3/20","金","甲府","Yamanashi",12.1,0
"83","2020/3/21","土","甲府","Yamanashi",13,0
"84","2020/3/22","日","甲府","Yamanashi",14.6,0
"85","2020/3/23","月","甲府","Yamanashi",10.9,0
"86","2020/3/24","火","甲府","Yamanashi",8,0
"87","2020/3/25","水","甲府","Yamanashi",8.4,0
"88","2020/3/26","木","甲府","Yamanashi",12.9,0
"89","2020/3/27","金","甲府","Yamanashi",14.7,0
"90","2020/3/28","土","甲府","Yamanashi",15.2,17.5
"91","2020/3/29","日","甲府","Yamanashi",6.5,41
"92","2020/3/30","月","甲府","Yamanashi",8.9,0
"93","2020/3/31","火","甲府","Yamanashi",11.3,0
"94","2020/4/1","水","甲府","Yamanashi",12.1,14.5
"95","2020/4/2","木","甲府","Yamanashi",13.2,0
"96","2020/4/3","金","甲府","Yamanashi",10.7,0
"97","2020/4/4","土","甲府","Yamanashi",13.8,0
"98","2020/4/5","日","甲府","Yamanashi",11.9,0
"99","2020/4/6","月","甲府","Yamanashi",11.7,0
"100","2020/4/7","火","甲府","Yamanashi",11.4,0
"101","2020/4/8","水","甲府","Yamanashi",13.2,0
"102","2020/4/9","木","甲府","Yamanashi",14.4,0
"103","2020/4/10","金","甲府","Yamanashi",11.6,0
"104","2020/4/11","土","甲府","Yamanashi",10.4,0
"105","2020/4/12","日","甲府","Yamanashi",10.9,5.5
"106","2020/4/13","月","甲府","Yamanashi",6.6,45.5
"107","2020/4/14","火","甲府","Yamanashi",11.3,0
"108","2020/4/15","水","甲府","Yamanashi",11.9,0
"109","2020/4/16","木","甲府","Yamanashi",13.4,0
"110","2020/4/17","金","甲府","Yamanashi",13,3
"111","2020/4/18","土","甲府","Yamanashi",11.4,43
"112","2020/4/19","日","甲府","Yamanashi",16.3,0
"113","2020/4/20","月","甲府","Yamanashi",12.8,16.5
"114","2020/4/21","火","甲府","Yamanashi",15.5,0
"115","2020/4/22","水","甲府","Yamanashi",13.4,0
"116","2020/4/23","木","甲府","Yamanashi",12.2,0
"117","2020/4/24","金","甲府","Yamanashi",11.6,0
"118","2020/4/25","土","甲府","Yamanashi",12.5,0
"119","2020/4/26","日","甲府","Yamanashi",15.6,0
"120","2020/4/27","月","甲府","Yamanashi",14.4,0
"121","2020/4/28","火","甲府","Yamanashi",13.8,0
"122","2020/4/29","水","甲府","Yamanashi",15.1,0
"123","2020/4/30","木","甲府","Yamanashi",17.5,0
"124","2020/5/1","金","甲府","Yamanashi",19,0
"125","2020/5/2","土","甲府","Yamanashi",21.2,0
"126","2020/5/3","日","甲府","Yamanashi",19.1,0
"127","2020/5/4","月","甲府","Yamanashi",19,4
"128","2020/5/5","火","甲府","Yamanashi",21.9,0
"129","2020/5/6","水","甲府","Yamanashi",18.6,6
"130","2020/5/7","木","甲府","Yamanashi",17,0
"131","2020/5/8","金","甲府","Yamanashi",15.4,0
"132","2020/5/9","土","甲府","Yamanashi",15.6,0
"133","2020/5/10","日","甲府","Yamanashi",18.6,0.5
"134","2020/5/11","月","甲府","Yamanashi",24.5,0.5
"135","2020/5/12","火","甲府","Yamanashi",21.2,0
"136","2020/5/13","水","甲府","Yamanashi",21.5,0
"137","2020/5/14","木","甲府","Yamanashi",19.9,0
"138","2020/5/15","金","甲府","Yamanashi",19.7,0
"139","2020/5/16","土","甲府","Yamanashi",17.3,5.5
"140","2020/5/17","日","甲府","Yamanashi",22,0
"141","2020/5/18","月","甲府","Yamanashi",21.6,2.5
"142","2020/5/19","火","甲府","Yamanashi",19.5,37
"143","2020/5/20","水","甲府","Yamanashi",18.9,3.5
"144","2020/5/21","木","甲府","Yamanashi",15.7,0
"145","2020/5/22","金","甲府","Yamanashi",18.8,0
"146","2020/5/23","土","甲府","Yamanashi",20.9,0
"147","2020/5/24","日","甲府","Yamanashi",21.8,0
"148","2020/5/25","月","甲府","Yamanashi",22,0
"149","2020/5/26","火","甲府","Yamanashi",21,0
"150","2020/5/27","水","甲府","Yamanashi",23.6,0
"151","2020/5/28","木","甲府","Yamanashi",21.1,0
"152","2020/5/29","金","甲府","Yamanashi",19.9,0
"153","2020/5/30","土","甲府","Yamanashi",20.2,0
"154","2020/5/31","日","甲府","Yamanashi",18.6,0
"155","2020/6/1","月","甲府","Yamanashi",19.7,0
"156","2020/6/2","火","甲府","Yamanashi",23.4,0
"157","2020/6/3","水","甲府","Yamanashi",24,0
"158","2020/6/4","木","甲府","Yamanashi",23.9,0
"159","2020/6/5","金","甲府","Yamanashi",25.3,0
"160","2020/6/6","土","甲府","Yamanashi",23.8,5
"161","2020/6/7","日","甲府","Yamanashi",23.4,0
"162","2020/6/8","月","甲府","Yamanashi",24.7,0
"163","2020/6/9","火","甲府","Yamanashi",24.8,0
"164","2020/6/10","水","甲府","Yamanashi",24.6,0
"165","2020/6/11","木","甲府","Yamanashi",24.2,7
"166","2020/6/12","金","甲府","Yamanashi",25.9,0
"167","2020/6/13","土","甲府","Yamanashi",23.1,20
"168","2020/6/14","日","甲府","Yamanashi",22.5,10
"169","2020/6/15","月","甲府","Yamanashi",26.6,0
"170","2020/6/16","火","甲府","Yamanashi",24.7,0
"171","2020/6/17","水","甲府","Yamanashi",23.8,0
"172","2020/6/18","木","甲府","Yamanashi",21,9.5
"173","2020/6/19","金","甲府","Yamanashi",18.3,19.5
"174","2020/6/20","土","甲府","Yamanashi",22.8,0
"175","2020/6/21","日","甲府","Yamanashi",23.9,0
"176","2020/6/22","月","甲府","Yamanashi",19.7,14.5
"177","2020/6/23","火","甲府","Yamanashi",23.6,0
"178","2020/6/24","水","甲府","Yamanashi",25.3,0.5
"179","2020/6/25","木","甲府","Yamanashi",24,7.5
"180","2020/6/26","金","甲府","Yamanashi",25.8,0
"181","2020/6/27","土","甲府","Yamanashi",26.1,0
"182","2020/6/28","日","甲府","Yamanashi",22,43
"183","2020/6/29","月","甲府","Yamanashi",23.8,0
"184","2020/6/30","火","甲府","Yamanashi",21.5,40.5
"185","2020/7/1","水","甲府","Yamanashi",24.4,17.5
"186","2020/7/2","木","甲府","Yamanashi",25.2,0
"187","2020/7/3","金","甲府","Yamanashi",22.5,10
"188","2020/7/4","土","甲府","Yamanashi",23.2,28
"189","2020/7/5","日","甲府","Yamanashi",24.8,1
"190","2020/7/6","月","甲府","Yamanashi",23.7,19.5
"191","2020/7/7","火","甲府","Yamanashi",25.8,2.5
"192","2020/7/8","水","甲府","Yamanashi",25.2,35
"193","2020/7/9","木","甲府","Yamanashi",23.4,27
"194","2020/7/10","金","甲府","Yamanashi",24.5,2.5
"195","2020/7/11","土","甲府","Yamanashi",24.9,21
"196","2020/7/12","日","甲府","Yamanashi",26.5,0
"197","2020/7/13","月","甲府","Yamanashi",22.1,1
"198","2020/7/14","火","甲府","Yamanashi",21.8,3.5
"199","2020/7/15","水","甲府","Yamanashi",24.2,0
"200","2020/7/16","木","甲府","Yamanashi",24.6,0.5
"201","2020/7/17","金","甲府","Yamanashi",21.9,35
"202","2020/7/18","土","甲府","Yamanashi",23.7,5
"203","2020/7/19","日","甲府","Yamanashi",26.5,0
"204","2020/7/20","月","甲府","Yamanashi",26.8,1.5
"205","2020/7/21","火","甲府","Yamanashi",26.9,1.5
"206","2020/7/22","水","甲府","Yamanashi",27.3,52
"207","2020/7/23","木","甲府","Yamanashi",23.7,1.5
"208","2020/7/24","金","甲府","Yamanashi",24.3,9.5
"209","2020/7/25","土","甲府","Yamanashi",23.3,128
"210","2020/7/26","日","甲府","Yamanashi",24,41.5
"211","2020/7/27","月","甲府","Yamanashi",25,1
"212","2020/7/28","火","甲府","Yamanashi",25.5,0.5
"213","2020/7/29","水","甲府","Yamanashi",25.2,0
"214","2020/7/30","木","甲府","Yamanashi",24.6,3
"215","2020/7/31","金","甲府","Yamanashi",26.1,21
"216","2020/8/1","土","甲府","Yamanashi",25.9,19
"217","2020/8/2","日","甲府","Yamanashi",26.6,2
"218","2020/8/3","月","甲府","Yamanashi",26.7,1.5
"219","2020/8/4","火","甲府","Yamanashi",28.2,0
"220","2020/8/5","水","甲府","Yamanashi",28.6,0.5
"221","2020/8/6","木","甲府","Yamanashi",28.7,0
"222","2020/8/7","金","甲府","Yamanashi",28.5,0
"223","2020/8/8","土","甲府","Yamanashi",28.8,0
"224","2020/8/9","日","甲府","Yamanashi",29.2,0
"225","2020/8/10","月","甲府","Yamanashi",29.5,0
"226","2020/8/11","火","甲府","Yamanashi",30.4,0
"227","2020/8/12","水","甲府","Yamanashi",30.4,0
"228","2020/8/13","木","甲府","Yamanashi",30.4,0
"229","2020/8/14","金","甲府","Yamanashi",30,0
"230","2020/8/15","土","甲府","Yamanashi",31.4,0
"231","2020/8/16","日","甲府","Yamanashi",31.8,0
"232","2020/8/17","月","甲府","Yamanashi",31.4,0
"233","2020/8/18","火","甲府","Yamanashi",30.4,0
"234","2020/8/19","水","甲府","Yamanashi",30,0
"235","2020/8/20","木","甲府","Yamanashi",30.1,0
"236","2020/8/21","金","甲府","Yamanashi",30.2,0
"237","2020/8/22","土","甲府","Yamanashi",26.8,33.5
"238","2020/8/23","日","甲府","Yamanashi",25.5,1
"239","2020/8/24","月","甲府","Yamanashi",27.3,0
"240","2020/8/25","火","甲府","Yamanashi",27.9,2.5
"241","2020/8/26","水","甲府","Yamanashi",29,0
"242","2020/8/27","木","甲府","Yamanashi",29,0
"243","2020/8/28","金","甲府","Yamanashi",26.9,0
"244","2020/8/29","土","甲府","Yamanashi",29.4,0
"245","2020/8/30","日","甲府","Yamanashi",30.1,0
"246","2020/8/31","月","甲府","Yamanashi",29.2,0
"247","2020/9/1","火","甲府","Yamanashi",27.7,0
"248","2020/9/2","水","甲府","Yamanashi",27.3,1
"249","2020/9/3","木","甲府","Yamanashi",26.5,3.5
"250","2020/9/4","金","甲府","Yamanashi",28.6,0
"251","2020/9/5","土","甲府","Yamanashi",27.5,47.5
"252","2020/9/6","日","甲府","Yamanashi",25.3,12.5
"253","2020/9/7","月","甲府","Yamanashi",25.2,32.5
"254","2020/9/8","火","甲府","Yamanashi",27,0
"255","2020/9/9","水","甲府","Yamanashi",25.8,5.5
"256","2020/9/10","木","甲府","Yamanashi",24.9,0.5
"257","2020/9/11","金","甲府","Yamanashi",27,0
"258","2020/9/12","土","甲府","Yamanashi",25.3,0
"259","2020/9/13","日","甲府","Yamanashi",24.8,0
"260","2020/9/14","月","甲府","Yamanashi",26.4,0
"261","2020/9/15","火","甲府","Yamanashi",24.9,0
"262","2020/9/16","水","甲府","Yamanashi",24,0
"263","2020/9/17","木","甲府","Yamanashi",25.7,0
"264","2020/9/18","金","甲府","Yamanashi",28,0
"265","2020/9/19","土","甲府","Yamanashi",26.5,0
"266","2020/9/20","日","甲府","Yamanashi",22.2,1.5
"267","2020/9/21","月","甲府","Yamanashi",22.7,0
"268","2020/9/22","火","甲府","Yamanashi",22.9,0
"269","2020/9/23","水","甲府","Yamanashi",21.8,0
"270","2020/9/24","木","甲府","Yamanashi",22.5,0
"271","2020/9/25","金","甲府","Yamanashi",20.6,17
"272","2020/9/26","土","甲府","Yamanashi",20.6,1
"273","2020/9/27","日","甲府","Yamanashi",20.4,7
"274","2020/9/28","月","甲府","Yamanashi",20.8,0
"275","2020/9/29","火","甲府","Yamanashi",19.4,0
"276","2020/9/30","水","甲府","Yamanashi",18.8,0
"277","2020/10/1","木","甲府","Yamanashi",20.3,0
"278","2020/10/2","金","甲府","Yamanashi",20.2,0
"279","2020/10/3","土","甲府","Yamanashi",21.1,0
"280","2020/10/4","日","甲府","Yamanashi",20.8,0
"281","2020/10/5","月","甲府","Yamanashi",21.2,0
"282","2020/10/6","火","甲府","Yamanashi",19,0
"283","2020/10/7","水","甲府","Yamanashi",17.1,9
"284","2020/10/8","木","甲府","Yamanashi",14.4,53.5
"285","2020/10/9","金","甲府","Yamanashi",15.3,39
"286","2020/10/10","土","甲府","Yamanashi",15.9,84.5
"287","2020/10/11","日","甲府","Yamanashi",20.8,0
"288","2020/10/12","月","甲府","Yamanashi",22.1,0
"289","2020/10/13","火","甲府","Yamanashi",22.6,0
"290","2020/10/14","水","甲府","Yamanashi",20.6,0
"291","2020/10/15","木","甲府","Yamanashi",18.4,0
"292","2020/10/16","金","甲府","Yamanashi",16.9,0
"293","2020/10/17","土","甲府","Yamanashi",12.6,21.5
"294","2020/10/18","日","甲府","Yamanashi",13.4,0
"295","2020/10/19","月","甲府","Yamanashi",11.1,7
"296","2020/10/20","火","甲府","Yamanashi",13.7,0
"297","2020/10/21","水","甲府","Yamanashi",13.8,0
"298","2020/10/22","木","甲府","Yamanashi",15,0
"299","2020/10/23","金","甲府","Yamanashi",15.5,15
"300","2020/10/24","土","甲府","Yamanashi",15.1,0
"301","2020/10/25","日","甲府","Yamanashi",12.8,0
"302","2020/10/26","月","甲府","Yamanashi",12.9,0
"303","2020/10/27","火","甲府","Yamanashi",14.4,0
"304","2020/10/28","水","甲府","Yamanashi",14.8,0
"305","2020/10/29","木","甲府","Yamanashi",15.1,0
"306","2020/10/30","金","甲府","Yamanashi",13.1,0
"307","2020/10/31","土","甲府","Yamanashi",10.3,0
"308","2020/11/1","日","甲府","Yamanashi",10.7,0
"309","2020/11/2","月","甲府","Yamanashi",13.2,0
"310","2020/11/3","火","甲府","Yamanashi",16.3,1.5
"311","2020/11/4","水","甲府","Yamanashi",12,0
"312","2020/11/5","木","甲府","Yamanashi",9.7,0
"313","2020/11/6","金","甲府","Yamanashi",10.5,0
"314","2020/11/7","土","甲府","Yamanashi",11.7,3
"315","2020/11/8","日","甲府","Yamanashi",14.2,0
"316","2020/11/9","月","甲府","Yamanashi",12.7,0
"317","2020/11/10","火","甲府","Yamanashi",9.6,0
"318","2020/11/11","水","甲府","Yamanashi",9.3,0
"319","2020/11/12","木","甲府","Yamanashi",9.4,0
"320","2020/11/13","金","甲府","Yamanashi",11,0
"321","2020/11/14","土","甲府","Yamanashi",10.6,0
"322","2020/11/15","日","甲府","Yamanashi",9.8,0
"323","2020/11/16","月","甲府","Yamanashi",11.9,0
"324","2020/11/17","火","甲府","Yamanashi",12.2,0
"325","2020/11/18","水","甲府","Yamanashi",14.1,0
"326","2020/11/19","木","甲府","Yamanashi",16.9,0
"327","2020/11/20","金","甲府","Yamanashi",17.2,0
"328","2020/11/21","土","甲府","Yamanashi",15.2,0
