week,week_JP,weeknum,pref,newcase_day,newdeath_day,emergency,GZnew,cumGZ,newcaseday14,resview,in_city,in_pref,out_pref,treat,avg_temp,avg_rain,infectious_l1,infectious_l2,sum_pop,pop_resid,tests,newcase_lead1,newcase_lead2,tests_lead1,tests_lead2,cumcases,susceptible
2020-01-13,2020年1月第3週,3,Gunma,0,0,0,0,0,0,3.24702333,-1.90661631,-1.094252431,12.373607638,Neighboring_prefs,6.185714285714286,0.07142857142857142,0,0.0068285774585925,1965557,1942000,0,0,0,0,0,0,1942000
2020-01-13,2020年1月第3週,3,Ibaraki,0,0,0,0,0,0,-2.489891712,-2.033044431,0.063597851,11.818820867,Neighboring_prefs,5.885714285714285,1,0,0.00778228465907845,2838112,2860000,0,0,0,1,9,0,2860000
2020-01-13,2020年1月第3週,3,Nagano,0,0,0,0,0,0,-2.137822013,-2.707943741,-1.424666483,4.215343109,Neighboring_prefs,2.3071428571428574,0.21428571428571427,0,0.01114238454007504,2120306,2049000,0,0,0,0,0,0,2049000
2020-01-13,2020年1月第3週,3,Shizuoka,0,0,0,0,0,0,-3.819798083,-2.233952493,1.522140106,12.775233795,Neighboring_prefs,7.523809523809524,2.142857142857143,0,0.0229710414796373,3721893,3644000,0,0,0,0,0,0,3644000
2020-01-13,2020年1月第3週,3,Tochigi,0,0,0,0,0,0,-7.064713977,-1.105543919,-2.31393814,8.210048584,Neighboring_prefs,5.307142857142857,0.5,0,0.00604002532630015,1964567,1934000,0,0,0,0,3,0,1934000
2020-01-13,2020年1月第3週,3,Yamanashi,0,0,0,0,0,0,-6.764005522,-2.422890782,-2.457260001,7.603616863,Yamanashi,2.8714285714285714,1.1428571428571428,0,0.00586623967175966,832072,811000,0,0,0,0,1,0,811000
2020-01-20,2020年1月第4週,4,Gunma,0,0,0,0,0,0,5.975943258,-2.517189848,1.324276391,12.938769123,Neighboring_prefs,6.085714285714285,0.07142857142857142,0.00414617809625795,0.00651466197447836,1967418,1942000,0,0,0,0,0,0,1942000
2020-01-20,2020年1月第4週,4,Ibaraki,0,0,0,0,0,0,2.734368236,-2.194517861,0.415116751,9.885945244,Neighboring_prefs,5.7,0.40476190476190477,0.00501447117136461,0.01393694988196966,2825948,2860000,1,0,0,9,6,0,2860000
2020-01-20,2020年1月第4週,4,Nagano,0,0,0,0,0,0,5.504448502,-3.055282064,0.72012406,3.069890287,Neighboring_prefs,3.592857142857143,1.2142857142857142,0.00656854873891756,0.01211712768642573,2113866,2049000,0,0,0,0,0,0,2049000
2020-01-20,2020年1月第4週,4,Shizuoka,0,0,0,0,0,0,2.639338169,-1.719628141,0.196065183,10.986246133,Neighboring_prefs,9.380952380952381,4.761904761904762,0.013814826532172,0.02296244222862294,3721866,3644000,0,0,0,0,0,0,3644000
