"","X","週","week","weeknum","pref","newcaseday","newcaset.1","newcaset.2","cumcases","newdeath","emergency","GZnew","cumGZ","mobility","resview","in_city","in_pref","out_pref","week_dummy","pref_dummy","population","avg_temp","rain","sum_pop","agrgt_potecovid_lag1","agrgt_potecovid_lag2","susceptable","avg_temp_q","rain_q","noftests","noftestst.1","noftestst.2","pred_covid","pred_covid2"
"Gunma-2020-01-13",1,"202001_W3","2020-01-13",3,"Gunma",0,0,0,0,0,0,0,0,1965575,3.24702333,-1.90661631,-1.094252431,12.37360764,"D_3","D_Gunma",1942000,6.18571428571429,0.0714285714285714,1965557,0,0.00682857745859251,1942000,38.2630612244898,0.00510204081632653,0,0,0,1.12677254319457,1.1586449055556
"Gunma-2020-01-20",7,"202001_W4","2020-01-20",4,"Gunma",0,0,0,0,0,0,0,0,1967451,5.975943258,-2.517189848,1.324276391,12.93876912,"D_4","D_Gunma",1942000,6.08571428571429,0.0714285714285714,1967418,0.00414617809625795,0.00651466197447836,1942000,37.0359183673469,0.00510204081632653,0,0,0,1.11123165380906,1.15134328368425
"Gunma-2020-01-27",13,"202001_W5","2020-01-27",5,"Gunma",0,0,0,0,0,0,0,0,1968631,-0.304457168,-1.864979489,0.792914312,13.05432113,"D_5","D_Gunma",1942000,6.67857142857143,7.46428571428571,1968597,0.00621141353768622,0.00544717310424011,1942000,44.6033163265306,55.7155612244898,0,0,0,1.10986795579619,1.07080431615661
"Gunma-2020-02-03",19,"202002_W1","2020-02-03",6,"Gunma",0,0,0,0,0,0,0,0,1967210,-3.823966337,0.618423366,-1.171588019,-8.659837196,"D_6","D_Gunma",1942000,3.84285714285714,0,1967183,0.00530952295717696,0.0283951418094126,1942000,14.7675510204082,0,0,0,0,1.13973584262643,1.25215807561523
"Gunma-2020-02-10",25,"202002_W2","2020-02-10",7,"Gunma",0,0,0,0,0,0,0,0,1973663,9.101489814,1.077369572,-0.269290055,-7.876314141,"D_7","D_Gunma",1942000,8.27857142857143,0.214285714285714,1973630,0.0312064980112013,0.0889024903687509,1942000,68.5347448979592,0.0459183673469388,0,0,180,1.25999536720045,1.48795449656382
"Gunma-2020-02-17",31,"202002_W3","2020-02-17",8,"Gunma",0,0,1,0,0,0,0,0,1982511,5.77219484,1.036128169,-1.7539475,2.68927099,"D_8","D_Gunma",1942000,8.21428571428571,0.0357142857142857,1982478,0.0953494182298374,0.115063787996209,1942000,67.4744897959184,0.00127551020408163,0,180,0,1.42436695421358,1.61390891261658
"Gunma-2020-02-24",37,"202002_W4","2020-02-24",9,"Gunma",0,1,4,0,0,0,0,0,1980798,-4.975000252,3.197936859,-9.628916456,-4.461833362,"D_9","D_Gunma",1942000,7.95714285714286,0.678571428571429,1980774,0.125090206616557,1.1694508083235,1942000,63.3161224489796,0.460459183673469,180,0,495,1.49062980919092,1.81711391736038
"Gunma-2020-03-02",43,"202003_W1","2020-03-02",10,"Gunma",1,4,6,1,0,0,0,0,1975290,-14.03236571,3.093124421,-6.08083853,-10.29743224,"D_10","D_Gunma",1942000,7.86428571428571,0.178571428571429,1975256,1.15839818075777,5.17390227263634,1941999,61.8469897959184,0.0318877551020408,0,495,355,1.8666610568745,3.81145302790814
"Gunma-2020-03-09",49,"202003_W2","2020-03-09",11,"Gunma",4,6,7,5,0,0,0,0,1974409,-11.15470798,4.029185656,-7.720844054,-14.23050814,"D_11","D_Gunma",1942000,10.7,3.46428571428571,1974374,5.14628342148758,10.0677578835058,1941995,114.49,12.0012755102041,495,355,1310,3.56913727533858,11.6430478331838
"Gunma-2020-03-16",55,"202003_W3","2020-03-16",12,"Gunma",6,7,8,11,1,0,0,0,1986592,-10.31047641,3.427004143,-6.861378013,-7.884035265,"D_12","D_Gunma",1942000,10.7928571428571,0,1986549,10.0519737724436,13.5519365209932,1941989,116.485765306122,0,355,1310,4460,11.5903790435529,17.5618706737193
"Gunma-2020-03-23",61,"202003_W4","2020-03-23",13,"Gunma",7,8,64,18,0,0,0,0,1975631,-25.59159841,5.098988792,-8.48702043,-21.74807701,"D_13","D_Gunma",1942000,10.1357142857143,7.96428571428571,1975586,13.7664627277578,17.5053502959872,1941982,102.732704081633,63.4298469387755,1310,4460,1715,16.8525485473508,29.5917435160188
"Gunma-2020-03-30",67,"202004_W1","2020-03-30",14,"Gunma",8,64,32,26,0,0,0,0,1967745,-42.11730412,4.58486905,-8.881063043,-20.55072088,"D_14","D_Gunma",1942000,10.55,2.57142857142857,1967710,17.1517872859339,74.7272978284903,1941974,111.3025,6.61224489795918,4460,1715,1980,29.5673890825642,28.1678029926581
"Gunma-2020-04-06",73,"202004_W2","2020-04-06",15,"Gunma",64,32,19,90,1,0,0,0,1972146,-51.33442425,7.632840934,-15.23795456,-37.61188033,"D_15","D_Gunma",1942000,11.3071428571429,0.214285714285714,1972124,73.8260104854561,98.3719486725031,1941910,127.851479591837,0.0459183673469388,1715,1980,2115,28.878809860686,19.3025528560328
"Gunma-2020-04-13",79,"202004_W3","2020-04-13",16,"Gunma",32,19,5,122,4,1,0,0,1978371,-51.67122391,9.527919257,-20.36541876,-36.33608825,"D_16","D_Gunma",1942000,11.9642857142857,15.0357142857143,1978344,97.9139318900339,53.7281728701402,1941878,143.144132653061,226.072704081633,1980,2115,1968,19.063330769788,6.2763975689506
"Gunma-2020-04-20",85,"202004_W4","2020-04-20",17,"Gunma",19,5,1,141,8,1,0,0,1974312,-57.13814752,11.38630889,-23.30020141,-49.82054144,"D_17","D_Gunma",1942000,12.4571428571429,0.607142857142857,1974279,53.5746648379035,25.904931634775,1941859,155.180408163265,0.368622448979592,2115,1968,1242,6.47004085968345,3.23824496709937
"Gunma-2020-04-27",91,"202004_W5","2020-04-27",18,"Gunma",5,1,0,146,2,1,0,0,1973953,-68.97245694,16.00837289,-10.44253387,-80.61329094,"D_18","D_Gunma",1942000,17.9642857142857,0,1973922,25.857087684445,7.30550756412614,1941854,322.71556122449,0,1968,1242,1422,3.12371318896159,1.84644916083187
"Gunma-2020-05-04",97,"202005_W1","2020-05-04",19,"Gunma",1,0,2,147,2,1,0,0,1971144,-38.01058882,17.1899487,-46.83174017,-72.92597559,"D_19","D_Gunma",1942000,17.8928571428571,2.21428571428571,1971119,7.2709608742973,1.76142330885178,1941853,320.154336734694,4.9030612244898,1242,1422,996,1.83504373132217,2.14590619740636
"Gunma-2020-05-11",103,"202005_W2","2020-05-11",20,"Gunma",0,2,0,147,0,1,0,0,1971143,-46.84197305,10.4241063,-18.66470204,-51.15891009,"D_20","D_Gunma",1942000,21.4571428571429,0.535714285714286,1971121,1.73497762357014,2.33579582066303,1941853,460.408979591837,0.286989795918367,1422,996,1206,2.12987566244289,1.81329065554117
"Gunma-2020-05-18",109,"202005_W3","2020-05-18",21,"Gunma",2,0,2,149,1,0,0,0,1974948,-27.55411497,9.939971005,-14.48335307,-48.51163651,"D_21","D_Gunma",1942000,17.0142857142857,8.53571428571429,1974935,2.32350114057706,2.18799255286963,1941851,289.485918367347,72.858418367347,996,1206,1818,1.73430727981161,1.79674138996821
"Gunma-2020-05-25",115,"202005_W4","2020-05-25",22,"Gunma",0,2,0,149,0,0,0,0,1973343,-31.19605821,8.597039778,-12.46627055,-43.82432782,"D_22","D_Gunma",1942000,21.6785714285714,1.89285714285714,1973313,2.20021768218335,2.18474793214222,1941851,469.960459183673,3.58290816326531,1206,1818,2442,1.8595767058844,1.88616425212731
"Gunma-2020-06-01",121,"202006_W1","2020-06-01",23,"Gunma",2,0,0,151,0,0,0,0,1971689,-29.13509096,12.16234936,-23.88073441,-58.312914,"D_23","D_Gunma",1942000,23.6714285714286,4.60714285714286,1971661,2.19497562922747,2.27898600442583,1941849,560.336530612245,21.2257653061224,1818,2442,1680,1.89189901054897,2.00280404779651
"Gunma-2020-06-08",127,"202006_W2","2020-06-08",24,"Gunma",0,0,1,151,0,0,0,0,1970638,-23.91465541,11.45731337,-21.19054648,-54.25451165,"D_24","D_Gunma",1942000,24.6785714285714,12.7857142857143,1970623,2.31175054385628,0.498885724757851,1941849,609.031887755102,163.474489795918,2442,1680,1788,2.2983942781428,1.72933026464378
"Gunma-2020-06-15",133,"202006_W3","2020-06-15",25,"Gunma",0,1,3,151,0,0,0,0,1974264,-18.60583837,5.696906954,-5.202984928,-27.7109025,"D_25","D_Gunma",1942000,23.4642857142857,5.96428571428571,1974242,0.527882789110322,2.02314445735168,1941849,550.572704081633,35.5727040816327,1680,1788,2478,1.77784585296639,3.78119847642205
"Gunma-2020-06-22",139,"202006_W4","2020-06-22",26,"Gunma",1,3,0,152,0,0,0,0,1979070,-17.58980748,5.551646488,-5.941902822,-23.85753265,"D_26","D_Gunma",1942000,22.75,7.53571428571429,1979049,2.14119252735569,6.2711064932875,1941848,517.5625,56.7869897959184,1788,2478,2592,3.79094245006277,4.26666508812311
"Gunma-2020-06-29",145,"202007_W1","2020-06-29",27,"Gunma",3,0,12,155,0,0,0,0,1969093,-16.62601883,2.902554271,-1.946009313,-21.90303492,"D_27","D_Gunma",1942000,24.6,7.21428571428571,1969072,6.45838281748046,7.40302146473527,1941845,605.16,52.0459183673469,2478,2592,3906,4.27357481676829,11.7020099325674
"Gunma-2020-07-06",151,"202007_W2","2020-07-06",28,"Gunma",0,12,12,155,0,0,0,0,1971992,-17.39170451,4.954290476,-4.526948705,-34.16656069,"D_28","D_Gunma",1942000,25.0642857142857,10.0357142857143,1971972,7.17974324374077,18.1009890351316,1941845,628.218418367347,100.71556122449,2592,3906,3000,11.0323267965273,19.0731624663394
"Gunma-2020-07-13",157,"202007_W3","2020-07-13",29,"Gunma",12,12,13,167,0,0,0,0,1976575,-8.494700572,3.218375974,2.037667803,-25.770676,"D_29","D_Gunma",1942000,21.7071428571429,5.53571428571429,1976549,18.0314874524673,31.2084786126008,1941833,471.200051020408,30.6441326530612,3906,3000,4632,19.2630937865757,36.4245516465025
"Gunma-2020-07-20",163,"202007_W4","2020-07-20",30,"Gunma",12,13,34,179,0,0,0,0,1984363,6.318277237,4.414854278,-9.055078857,-14.91257427,"D_30","D_Gunma",1942000,25.0428571428571,8.35714285714286,1984348,31.5903267101426,34.5937638461926,1941821,627.144693877551,69.8418367346939,3000,4632,4038,36.5824233922174,31.2764351579946
"Gunma-2020-07-27",169,"202007_W5","2020-07-27",31,"Gunma",13,34,72,192,0,0,0,0,1972192,-15.18785829,3.730554412,1.698300808,-32.19104782,"D_31","D_Gunma",1942000,24.8714285714286,3.82142857142857,1972168,36.6760958237162,60.1658718891393,1941808,618.587959183673,14.6033163265306,4632,4038,5106,30.7787526783665,30.1007163528541
"Gunma-2020-08-03",175,"202008_W1","2020-08-03",32,"Gunma",34,72,82,226,0,0,0,0,1994421,-16.5641808,4.754430863,0.787348596,-29.42287844,"D_32","D_Gunma",1942000,29.1142857142857,0,1994398,60.2047211575177,116.003825568633,1941774,847.641632653061,0,4038,5106,7386,30.6531096781699,43.9436158461121
"Gunma-2020-08-10",181,"202008_W2","2020-08-10",33,"Gunma",72,82,57,298,0,0,0,0,2003508,-39.87259074,7.448239265,-0.538924094,-37.65583494,"D_33","D_Gunma",1942000,31.2,3.92857142857143,2003490,115.560579584931,159.310337996249,1941702,973.44,15.4336734693878,5106,7386,9360,43.8913896820749,47.7190834947833
"Gunma-2020-08-17",187,"202008_W3","2020-08-17",34,"Gunma",82,57,45,380,0,0,0,0,1980395,-20.18090923,4.352470277,-4.369494379,-26.33590578,"D_34","D_Gunma",1942000,30.15,1.17857142857143,1980373,161.987365514007,146.574498603896,1941620,909.0225,1.3890306122449,7386,9360,5820,52.5635686404821,30.8418944704908
