week,treat,in_pref,out_pref,in_city,resview
2020-01-13,Neighboring_prefs,-0.6494238193999999,9.8786107986,-1.9974201788,-2.453040491
2020-01-13,Yamanashi,-2.457260001,7.603616863,-2.422890782,-6.764005522
2020-01-20,Neighboring_prefs,0.5101911516,8.8169375636,-2.169319282,3.1249811354
2020-01-20,Yamanashi,-0.766221475,6.312064131,-3.627933802,-0.678182298
2020-01-27,Neighboring_prefs,0.07763388319999995,9.1018567976,-1.718433846,-0.4990121014
2020-01-27,Yamanashi,-3.130702504,7.309811561,-1.802709241,-5.805434574
2020-02-03,Neighboring_prefs,0.002090696799999964,-9.4371237342,0.633709077,-3.2223262506
2020-02-03,Yamanashi,-2.103237637,-6.363874632,0.931750448,-10.026661504
2020-02-10,Neighboring_prefs,-2.1082929012,-8.6712076558,1.2681447856,6.5857394362
2020-02-10,Yamanashi,-1.331027586,-8.25039658,0.528107033,4.696892037
2020-02-17,Neighboring_prefs,-1.8610729342,2.6944750052,1.038753675,0.4407596512
2020-02-17,Yamanashi,-3.178600985,16.012208646,1.378723311,6.983863844
2020-02-24,Neighboring_prefs,-9.4438130128,-8.7933249836,3.272279036,-13.1505882708
2020-02-24,Yamanashi,-9.724171287,-3.632889072,3.546485796,-7.433359436
2020-03-02,Neighboring_prefs,-6.4537223734,-17.022209135,3.4102193818,-18.5453398182
2020-03-02,Yamanashi,-7.3187638,-21.148887291,3.894696641,-18.755143092
2020-03-09,Neighboring_prefs,-6.7872632492,-18.6532913036,3.9662299572,-12.9254640862
2020-03-09,Yamanashi,-8.924800702,-19.662793939,5.225883907,-21.184163823
2020-03-16,Neighboring_prefs,-5.831254299,-7.3681195094,3.6106991498,-9.5460497084
2020-03-16,Yamanashi,-5.949927243,-2.296158036,3.502589899,-5.008611094
2020-03-23,Neighboring_prefs,-7.782216973200001,-25.1842786206,4.977040052,-26.4603537878
2020-03-23,Yamanashi,-9.445623204,-33.168818199,5.639782692,-30.556088102
2020-03-30,Neighboring_prefs,-8.5237357724,-23.2505500354,4.2694495878000005,-46.1576030214
2020-03-30,Yamanashi,-9.673836492,-34.786024526,4.624065923,-55.898318043
2020-04-06,Neighboring_prefs,-16.9157729016,-44.570732088,8.2728387814,-57.3750703232
